Unnamed: 0.1,Unnamed: 0,formation_energy,elem_frac,elem_list,energy,formula,magnetic_moment,spin_index,num_p,num_d,num_f,atomic_rad,atomic_vol,covalent_rad,dipole,eaffinity,num_electrons,A1,A2,B1,B2,X,elem_sorted
35,35,-0.825950016,"[{Element Cr: 0.2}, {Element Te: 0.6}, {Element P: 0.2}]","[Element Cr, Element Te, Element P]",-49.76421138,Cr2Te6P2,5.854,0,4,3,0,"[130.0, 160.0, 128.0]","[7.23, 20.5, 17.0]","[122.0, 136.0, 111.00000000000001]","[78.4, 37.0, 24.93]","[0.6659999999999999, 1.9708759999999999, 0.746607]","[24, 52, 15]",0,0,0,0,0,"['Cr', 'Cr', 'P', 'P', 'Te']"
36,36,-1.491831953,"[{Element Nb: 0.1}, {Element Cr: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}, {Element P: 0.1}]","[Element Nb, Element Cr, Element Ge, Element Te, Element P]",-50.22595423,Nb1Cr1Ge1Te6P1,4.079,0,4,5,0,"[146.0, 130.0, 137.0, 160.0, 128.0]","[10.8, 7.23, 13.6, 20.5, 17.0]","[147.0, 122.0, 121.0, 136.0, 111.00000000000001]","[106.0, 78.4, 39.43, 37.0, 24.93]","[0.917406, 0.6659999999999999, 1.232712, 1.9708759999999999, 0.746607]","[41, 24, 32, 52, 15]",0,0,0,0,0,"['Nb', 'Cr', 'Ge', 'P', 'Te']"
37,37,-1.6073468,"[{Element Nb: 0.1}, {Element Cr: 0.1}, {Element Ge: 0.2}, {Element Te: 0.6}]","[Element Nb, Element Cr, Element Ge, Element Te]",-49.55903385,Nb1Cr1Ge2Te6,1.728,1,4,5,0,"[146.0, 130.0, 137.0, 160.0]","[10.8, 7.23, 13.6, 20.5]","[147.0, 122.0, 121.0, 136.0]","[106.0, 78.4, 39.43, 37.0]","[0.917406, 0.6659999999999999, 1.232712, 1.9708759999999999]","[41, 24, 32, 52]",0,0,0,0,0,"['Nb', 'Cr', 'Ge', 'Ge', 'Te']"
38,38,-1.777489695,"[{Element Nb: 0.1}, {Element Cr: 0.1}, {Element Si: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}]","[Element Nb, Element Cr, Element Si, Element Ge, Element Te]",-50.53179703,Nb1Cr1Si1Ge1Te6,1.713,1,4,5,0,"[146.0, 130.0, 132.0, 137.0, 160.0]","[10.8, 7.23, 12.1, 13.6, 20.5]","[147.0, 122.0, 115.99999999999999, 121.0, 136.0]","[106.0, 78.4, 37.31, 39.43, 37.0]","[0.917406, 0.6659999999999999, 1.3895211, 1.232712, 1.9708759999999999]","[41, 24, 14, 32, 52]",0,0,0,0,0,"['Nb', 'Cr', 'Si', 'Ge', 'Te']"
39,39,-1.732124338,"[{Element Nb: 0.1}, {Element Cr: 0.1}, {Element Si: 0.1}, {Element Te: 0.6}, {Element P: 0.1}]","[Element Nb, Element Cr, Element Si, Element Te, Element P]",-51.2688669,Nb1Cr1Si1Te6P1,4.132,0,4,5,0,"[146.0, 130.0, 132.0, 160.0, 128.0]","[10.8, 7.23, 12.1, 20.5, 17.0]","[147.0, 122.0, 115.99999999999999, 136.0, 111.00000000000001]","[106.0, 78.4, 37.31, 37.0, 24.93]","[0.917406, 0.6659999999999999, 1.3895211, 1.9708759999999999, 0.746607]","[41, 24, 14, 52, 15]",0,0,0,0,0,"['Nb', 'Cr', 'Si', 'P', 'Te']"
40,40,-1.97942352,"[{Element Nb: 0.1}, {Element Cr: 0.1}, {Element Si: 0.2}, {Element Te: 0.6}]","[Element Nb, Element Cr, Element Si, Element Te]",-51.53635114,Nb1Cr1Si2Te6,1.696,1,4,5,0,"[146.0, 130.0, 132.0, 160.0]","[10.8, 7.23, 12.1, 20.5]","[147.0, 122.0, 115.99999999999999, 136.0]","[106.0, 78.4, 37.31, 37.0]","[0.917406, 0.6659999999999999, 1.3895211, 1.9708759999999999]","[41, 24, 14, 52]",0,0,0,0,0,"['Nb', 'Cr', 'Si', 'Si', 'Te']"
41,41,-0.881367686,"[{Element Nb: 0.1}, {Element Cr: 0.1}, {Element Te: 0.6}, {Element P: 0.2}]","[Element Nb, Element Cr, Element Te, Element P]",-50.39792519,Nb1Cr1Te6P2,4.439,0,4,5,0,"[146.0, 130.0, 160.0, 128.0]","[10.8, 7.23, 20.5, 17.0]","[147.0, 122.0, 136.0, 111.00000000000001]","[106.0, 78.4, 37.0, 24.93]","[0.917406, 0.6659999999999999, 1.9708759999999999, 0.746607]","[41, 24, 52, 15]",0,0,0,0,0,"['Nb', 'Cr', 'P', 'P', 'Te']"
42,42,-2.582222683,"[{Element Ti: 0.1}, {Element Cr: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}, {Element P: 0.1}]","[Element Ti, Element Cr, Element Ge, Element Te, Element P]",-48.93434496,Ti1Cr1Ge1Te6P1,3.408,1,4,4,0,"[147.0, 130.0, 137.0, 160.0, 128.0]","[10.6, 7.23, 13.6, 20.5, 17.0]","[136.0, 122.0, 121.0, 136.0, 111.00000000000001]","[114.34, 78.4, 39.43, 37.0, 24.93]","[0.079, 0.6659999999999999, 1.232712, 1.9708759999999999, 0.746607]","[22, 24, 32, 52, 15]",0,0,0,0,0,"['Ti', 'Cr', 'Ge', 'P', 'Te']"
43,43,-2.8143674,"[{Element Ti: 0.1}, {Element Cr: 0.1}, {Element Ge: 0.2}, {Element Te: 0.6}]","[Element Ti, Element Cr, Element Ge, Element Te]",-48.38405445,Ti1Cr1Ge2Te6,2.319,1,4,4,0,"[147.0, 130.0, 137.0, 160.0]","[10.6, 7.23, 13.6, 20.5]","[136.0, 122.0, 121.0, 136.0]","[114.34, 78.4, 39.43, 37.0]","[0.079, 0.6659999999999999, 1.232712, 1.9708759999999999]","[22, 24, 32, 52]",0,0,0,0,0,"['Ti', 'Cr', 'Ge', 'Ge', 'Te']"
44,44,-2.981001675,"[{Element Ti: 0.1}, {Element Cr: 0.1}, {Element Si: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}]","[Element Ti, Element Cr, Element Si, Element Ge, Element Te]",-49.35330901,Ti1Cr1Si1Ge1Te6,2.303,1,4,4,0,"[147.0, 130.0, 132.0, 137.0, 160.0]","[10.6, 7.23, 12.1, 13.6, 20.5]","[136.0, 122.0, 115.99999999999999, 121.0, 136.0]","[114.34, 78.4, 37.31, 39.43, 37.0]","[0.079, 0.6659999999999999, 1.3895211, 1.232712, 1.9708759999999999]","[22, 24, 14, 32, 52]",0,0,0,0,0,"['Ti', 'Cr', 'Si', 'Ge', 'Te']"
45,45,-2.832998938,"[{Element Ti: 0.1}, {Element Cr: 0.1}, {Element Si: 0.1}, {Element Te: 0.6}, {Element P: 0.1}]","[Element Ti, Element Cr, Element Si, Element Te, Element P]",-49.9877415,Ti1Cr1Si1Te6P1,3.453,0,4,4,0,"[147.0, 130.0, 132.0, 160.0, 128.0]","[10.6, 7.23, 12.1, 20.5, 17.0]","[136.0, 122.0, 115.99999999999999, 136.0, 111.00000000000001]","[114.34, 78.4, 37.31, 37.0, 24.93]","[0.079, 0.6659999999999999, 1.3895211, 1.9708759999999999, 0.746607]","[22, 24, 14, 52, 15]",0,0,0,0,0,"['Ti', 'Cr', 'Si', 'P', 'Te']"
46,46,-3.17648239,"[{Element Ti: 0.1}, {Element Cr: 0.1}, {Element Si: 0.2}, {Element Te: 0.6}]","[Element Ti, Element Cr, Element Si, Element Te]",-50.35141001,Ti1Cr1Si2Te6,2.28,1,4,4,0,"[147.0, 130.0, 132.0, 160.0]","[10.6, 7.23, 12.1, 20.5]","[136.0, 122.0, 115.99999999999999, 136.0]","[114.34, 78.4, 37.31, 37.0]","[0.079, 0.6659999999999999, 1.3895211, 1.9708759999999999]","[22, 24, 14, 52]",0,0,0,0,0,"['Ti', 'Cr', 'Si', 'Si', 'Te']"
47,47,-1.873288526,"[{Element Ti: 0.1}, {Element Cr: 0.1}, {Element Te: 0.6}, {Element P: 0.2}]","[Element Ti, Element Cr, Element Te, Element P]",-49.00784603,Ti1Cr1Te6P2,3.785,0,4,4,0,"[147.0, 130.0, 160.0, 128.0]","[10.6, 7.23, 20.5, 17.0]","[136.0, 122.0, 136.0, 111.00000000000001]","[114.34, 78.4, 37.0, 24.93]","[0.079, 0.6659999999999999, 1.9708759999999999, 0.746607]","[22, 24, 52, 15]",0,0,0,0,0,"['Ti', 'Cr', 'P', 'P', 'Te']"
48,48,-1.678197803,"[{Element V: 0.1}, {Element Cr: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}, {Element P: 0.1}]","[Element V, Element Cr, Element Ge, Element Te, Element P]",-49.28394568,V1Cr1Ge1Te6P1,0.568,1,4,5,0,"[134.0, 130.0, 137.0, 160.0, 128.0]","[8.35, 7.23, 13.6, 20.5, 17.0]","[134.0, 122.0, 121.0, 136.0, 111.00000000000001]","[97.34, 78.4, 39.43, 37.0, 24.93]","[0.525, 0.6659999999999999, 1.232712, 1.9708759999999999, 0.746607]","[23, 24, 32, 52, 15]",0,0,0,0,0,"['V', 'Cr', 'Ge', 'P', 'Te']"
49,49,-1.73813733,"[{Element V: 0.1}, {Element Cr: 0.1}, {Element Ge: 0.2}, {Element Te: 0.6}]","[Element V, Element Cr, Element Ge, Element Te]",-48.56144998,V1Cr1Ge2Te6,5.078,0,4,5,0,"[134.0, 130.0, 137.0, 160.0]","[8.35, 7.23, 13.6, 20.5]","[134.0, 122.0, 121.0, 136.0]","[97.34, 78.4, 39.43, 37.0]","[0.525, 0.6659999999999999, 1.232712, 1.9708759999999999]","[23, 24, 32, 52]",0,0,0,0,0,"['V', 'Cr', 'Ge', 'Ge', 'Te']"
50,50,-1.897552475,"[{Element V: 0.1}, {Element Cr: 0.1}, {Element Si: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}]","[Element V, Element Cr, Element Si, Element Ge, Element Te]",-49.52348541,V1Cr1Si1Ge1Te6,5.11,0,4,5,0,"[134.0, 130.0, 132.0, 137.0, 160.0]","[8.35, 7.23, 12.1, 13.6, 20.5]","[134.0, 122.0, 115.99999999999999, 121.0, 136.0]","[97.34, 78.4, 37.31, 39.43, 37.0]","[0.525, 0.6659999999999999, 1.3895211, 1.232712, 1.9708759999999999]","[23, 24, 14, 32, 52]",0,0,0,0,0,"['V', 'Cr', 'Si', 'Ge', 'Te']"
51,51,-1.968957548,"[{Element V: 0.1}, {Element Cr: 0.1}, {Element Si: 0.1}, {Element Te: 0.6}, {Element P: 0.1}]","[Element V, Element Cr, Element Si, Element Te, Element P]",-50.37732571,V1Cr1Si1Te6P1,0.566,1,4,5,0,"[134.0, 130.0, 132.0, 160.0, 128.0]","[8.35, 7.23, 12.1, 20.5, 17.0]","[134.0, 122.0, 115.99999999999999, 136.0, 111.00000000000001]","[97.34, 78.4, 37.31, 37.0, 24.93]","[0.525, 0.6659999999999999, 1.3895211, 1.9708759999999999, 0.746607]","[23, 24, 14, 52, 15]",0,0,0,0,0,"['V', 'Cr', 'Si', 'P', 'Te']"
52,52,-2.10113918,"[{Element V: 0.1}, {Element Cr: 0.1}, {Element Si: 0.2}, {Element Te: 0.6}]","[Element V, Element Cr, Element Si, Element Te]",-50.5296924,V1Cr1Si2Te6,1.016,1,4,5,0,"[134.0, 130.0, 132.0, 160.0]","[8.35, 7.23, 12.1, 20.5]","[134.0, 122.0, 115.99999999999999, 136.0]","[97.34, 78.4, 37.31, 37.0]","[0.525, 0.6659999999999999, 1.3895211, 1.9708759999999999]","[23, 24, 14, 52]",0,0,0,0,0,"['V', 'Cr', 'Si', 'Si', 'Te']"
53,53,-1.211473136,"[{Element V: 0.1}, {Element Cr: 0.1}, {Element Te: 0.6}, {Element P: 0.2}]","[Element V, Element Cr, Element Te, Element P]",-49.59965624,V1Cr1Te6P2,5.154,0,4,5,0,"[134.0, 130.0, 160.0, 128.0]","[8.35, 7.23, 20.5, 17.0]","[134.0, 122.0, 136.0, 111.00000000000001]","[97.34, 78.4, 37.0, 24.93]","[0.525, 0.6659999999999999, 1.9708759999999999, 0.746607]","[23, 24, 52, 15]",0,0,0,0,0,"['V', 'Cr', 'P', 'P', 'Te']"
54,54,-4.219119326,"[{Element Y: 0.1}, {Element Cr: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}, {Element P: 0.1}]","[Element Y, Element Cr, Element Ge, Element Te, Element P]",-49.19997455,Y1Cr1Ge1Te6P1,2.963,1,10,3,0,"[178.0, 130.0, 137.0, 160.0, 128.0]","[19.8, 7.23, 13.6, 20.5, 17.0]","[163.0, 122.0, 121.0, 136.0, 111.00000000000001]","[153.0, 78.4, 39.43, 37.0, 24.93]","[0.307, 0.6659999999999999, 1.232712, 1.9708759999999999, 0.746607]","[39, 24, 32, 52, 15]",0,0,0,0,0,"['Y', 'Cr', 'Ge', 'P', 'Te']"
55,55,-4.664310023,"[{Element Y: 0.1}, {Element Cr: 0.1}, {Element Ge: 0.2}, {Element Te: 0.6}]","[Element Y, Element Cr, Element Ge, Element Te]",-48.86273002,Y1Cr1Ge2Te6,3.077,0,10,3,0,"[178.0, 130.0, 137.0, 160.0]","[19.8, 7.23, 13.6, 20.5]","[163.0, 122.0, 121.0, 136.0]","[153.0, 78.4, 39.43, 37.0]","[0.307, 0.6659999999999999, 1.232712, 1.9708759999999999]","[39, 24, 32, 52]",0,0,0,0,0,"['Y', 'Cr', 'Ge', 'Ge', 'Te']"
56,56,-4.848752138,"[{Element Y: 0.1}, {Element Cr: 0.1}, {Element Si: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}]","[Element Y, Element Cr, Element Si, Element Ge, Element Te]",-49.84979242,Y1Cr1Si1Ge1Te6,3.085,0,10,3,0,"[178.0, 130.0, 132.0, 137.0, 160.0]","[19.8, 7.23, 12.1, 13.6, 20.5]","[163.0, 122.0, 115.99999999999999, 121.0, 136.0]","[153.0, 78.4, 37.31, 39.43, 37.0]","[0.307, 0.6659999999999999, 1.3895211, 1.232712, 1.9708759999999999]","[39, 24, 14, 32, 52]",0,0,0,0,0,"['Y', 'Cr', 'Si', 'Ge', 'Te']"
57,57,-4.479584151,"[{Element Y: 0.1}, {Element Cr: 0.1}, {Element Si: 0.1}, {Element Te: 0.6}, {Element P: 0.1}]","[Element Y, Element Cr, Element Si, Element Te, Element P]",-50.26305966,Y1Cr1Si1Te6P1,2.967,0,10,3,0,"[178.0, 130.0, 132.0, 160.0, 128.0]","[19.8, 7.23, 12.1, 20.5, 17.0]","[163.0, 122.0, 115.99999999999999, 136.0, 111.00000000000001]","[153.0, 78.4, 37.31, 37.0, 24.93]","[0.307, 0.6659999999999999, 1.3895211, 1.9708759999999999, 0.746607]","[39, 24, 14, 52, 15]",0,0,0,0,0,"['Y', 'Cr', 'Si', 'P', 'Te']"
58,58,-5.063068752,"[{Element Y: 0.1}, {Element Cr: 0.1}, {Element Si: 0.2}, {Element Te: 0.6}]","[Element Y, Element Cr, Element Si, Element Te]",-50.86672932,Y1Cr1Si2Te6,3.09,1,10,3,0,"[178.0, 130.0, 132.0, 160.0]","[19.8, 7.23, 12.1, 20.5]","[163.0, 122.0, 115.99999999999999, 136.0]","[153.0, 78.4, 37.31, 37.0]","[0.307, 0.6659999999999999, 1.3895211, 1.9708759999999999]","[39, 24, 14, 52]",0,0,0,0,0,"['Y', 'Cr', 'Si', 'Si', 'Te']"
59,59,-3.379998869,"[{Element Y: 0.1}, {Element Cr: 0.1}, {Element Te: 0.6}, {Element P: 0.2}]","[Element Y, Element Cr, Element Te, Element P]",-49.14328932,Y1Cr1Te6P2,2.962,1,10,3,0,"[178.0, 130.0, 160.0, 128.0]","[19.8, 7.23, 20.5, 17.0]","[163.0, 122.0, 136.0, 111.00000000000001]","[153.0, 78.4, 37.0, 24.93]","[0.307, 0.6659999999999999, 1.9708759999999999, 0.746607]","[39, 24, 52, 15]",0,0,0,0,0,"['Y', 'Cr', 'P', 'P', 'Te']"
60,60,-2.959181453,"[{Element Ta: 0.1}, {Element Cr: 0.1}, {Element In: 0.1}, {Element Te: 0.6}, {Element Pb: 0.1}]","[Element Ta, Element Cr, Element In, Element Te, Element Pb]",-49.77283986,Ta1Cr1In1Te6Pb1,2.6981,0,4,15,0,"[149.0, 130.0, 166.0, 160.0, 175.0]","[10.9, 7.23, 15.7, 20.5, 18.3]","[146.0, 122.0, 142.0, 136.0, 144.0]","[88.0, 78.4, 68.7, 37.0, 47.1]","[0.322, 0.6659999999999999, 0.3, 1.9708759999999999, 0.35674316]","[73, 24, 49, 52, 82]",0,0,0,0,0,"['Ta', 'Cr', 'Te']"
61,61,-0.928383318,"[{Element Cr: 0.1}, {Element In: 0.1}, {Element Te: 0.6}, {Element Mo: 0.1}, {Element As: 0.1}]","[Element Cr, Element In, Element Te, Element Mo, Element As]",-47.76350685,Cr1In1Te6Mo1As1,5.9604,0,4,16,0,"[130.0, 166.0, 160.0, 139.0, 139.0]","[7.23, 15.7, 20.5, 9.4, 13.1]","[122.0, 142.0, 136.0, 138.0, 121.0]","[78.4, 68.7, 37.0, 72.5, 29.8]","[0.6659999999999999, 0.3, 1.9708759999999999, 0.748, 0.804]","[24, 49, 52, 42, 33]",0,0,0,0,0,"['Cr', 'Mo', 'Te']"
62,62,-1.13566818,"[{Element Cr: 0.1}, {Element Tc: 0.1}, {Element Sn: 0.2}, {Element Te: 0.6}]","[Element Cr, Element Tc, Element Sn, Element Te]",-48.00413457,Cr1Tc1Sn2Te6,4.9739,0,4,7,0,"[130.0, 136.0, 162.0, 160.0]","[7.23, 8.5, 16.3, 20.5]","[122.0, 128.0, 140.0, 136.0]","[78.4, 80.4, 42.4, 37.0]","[0.6659999999999999, 0.55, 1.112067, 1.9708759999999999]","[24, 43, 50, 52]",0,0,0,0,0,"['Cr', 'Tc', 'Te']"
63,63,-1.399802835,"[{Element Cr: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}, {Element Mo: 0.1}, {Element Pb: 0.1}]","[Element Cr, Element Ge, Element Te, Element Mo, Element Pb]",-49.16280392,Cr1Ge1Te6Mo1Pb1,4.4183,0,4,6,0,"[130.0, 137.0, 160.0, 139.0, 175.0]","[7.23, 13.6, 20.5, 9.4, 18.3]","[122.0, 121.0, 136.0, 138.0, 144.0]","[78.4, 39.43, 37.0, 72.5, 47.1]","[0.6659999999999999, 1.232712, 1.9708759999999999, 0.748, 0.35674316]","[24, 32, 52, 42, 82]",0,0,0,0,0,"['Cr', 'Mo', 'Ge', 'Ge', 'Te']"
64,64,-1.02947031,"[{Element Cr: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}, {Element Mo: 0.1}, {Element As: 0.1}]","[Element Cr, Element Ge, Element Te, Element Mo, Element As]",-49.73548171,Cr1Ge1Te6Mo1As1,5.0173,0,4,6,0,"[130.0, 137.0, 160.0, 139.0, 139.0]","[7.23, 13.6, 20.5, 9.4, 13.1]","[122.0, 121.0, 136.0, 138.0, 121.0]","[78.4, 39.43, 37.0, 72.5, 29.8]","[0.6659999999999999, 1.232712, 1.9708759999999999, 0.748, 0.804]","[24, 32, 52, 42, 33]",0,0,0,0,0,"['Cr', 'Mo', 'Ge', 'Ge', 'Te']"
65,65,-0.935624825,"[{Element Cr: 0.1}, {Element Si: 0.1}, {Element Sn: 0.1}, {Element Te: 0.6}, {Element Mo: 0.1}]","[Element Cr, Element Si, Element Sn, Element Te, Element Mo]",-49.7955834,Cr1Si1Sn1Te6Mo1,5.9993,0,4,6,0,"[130.0, 132.0, 162.0, 160.0, 139.0]","[7.23, 12.1, 16.3, 20.5, 9.4]","[122.0, 115.99999999999999, 140.0, 136.0, 138.0]","[78.4, 37.31, 42.4, 37.0, 72.5]","[0.6659999999999999, 1.3895211, 1.112067, 1.9708759999999999, 0.748]","[24, 14, 50, 52, 42]",0,0,0,0,0,"['Cr', 'Mo', 'Si', 'Si', 'Te']"
66,66,-1.439694583,"[{Element Cr: 0.1}, {Element In: 0.1}, {Element Te: 0.6}, {Element Mo: 0.1}, {Element Pb: 0.1}]","[Element Cr, Element In, Element Te, Element Mo, Element Pb]",-47.3318078,Cr1In1Te6Mo1Pb1,3.13,1,4,16,0,"[130.0, 166.0, 160.0, 139.0, 175.0]","[7.23, 15.7, 20.5, 9.4, 18.3]","[122.0, 142.0, 136.0, 138.0, 144.0]","[78.4, 68.7, 37.0, 72.5, 47.1]","[0.6659999999999999, 0.3, 1.9708759999999999, 0.748, 0.35674316]","[24, 49, 52, 42, 82]",0,0,0,0,0,"['Cr', 'Mo', 'Te']"
67,67,-1.964687063,"[{Element Ta: 0.1}, {Element Cr: 0.1}, {Element In: 0.1}, {Element Si: 0.1}, {Element Te: 0.6}]","[Element Ta, Element Cr, Element In, Element Si, Element Te]",-50.48865172,Ta1Cr1In1Si1Te6,3.9542,0,4,15,0,"[149.0, 130.0, 166.0, 132.0, 160.0]","[10.9, 7.23, 15.7, 12.1, 20.5]","[146.0, 122.0, 142.0, 115.99999999999999, 136.0]","[88.0, 78.4, 68.7, 37.31, 37.0]","[0.322, 0.6659999999999999, 0.3, 1.3895211, 1.9708759999999999]","[73, 24, 49, 14, 52]",0,0,0,0,0,"['Ta', 'Cr', 'Si', 'Si', 'Te']"
68,68,-4.058080245,"[{Element Sc: 0.1}, {Element Cr: 0.1}, {Element Sb: 0.1}, {Element Te: 0.6}, {Element Pb: 0.1}]","[Element Sc, Element Cr, Element Sb, Element Te, Element Pb]",-46.72729576,Sc1Cr1Sb1Te6Pb1,2.7488,0,10,3,0,"[162.0, 130.0, 159.0, 160.0, 175.0]","[15.0, 7.23, 18.4, 20.5, 18.3]","[148.0, 122.0, 140.0, 136.0, 144.0]","[142.28, 78.4, 42.2, 37.0, 47.1]","[0.188, 0.6659999999999999, 1.046, 1.9708759999999999, 0.35674316]","[21, 24, 51, 52, 82]",0,0,0,0,0,"['Sc', 'Cr', 'Te']"
69,69,-3.886836475,"[{Element Zr: 0.1}, {Element Cr: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}, {Element Pb: 0.1}]","[Element Zr, Element Cr, Element Ge, Element Te, Element Pb]",-49.26335952,Zr1Cr1Ge1Te6Pb1,2.7563,1,4,4,0,"[160.0, 130.0, 137.0, 160.0, 175.0]","[14.1, 7.23, 13.6, 20.5, 18.3]","[154.0, 122.0, 121.0, 136.0, 144.0]","[121.0, 78.4, 39.43, 37.0, 47.1]","[0.426, 0.6659999999999999, 1.232712, 1.9708759999999999, 0.35674316]","[40, 24, 32, 52, 82]",0,0,0,0,0,"['Zr', 'Cr', 'Ge', 'Ge', 'Te']"
70,70,-3.436473975,"[{Element Zr: 0.1}, {Element Cr: 0.1}, {Element Si: 0.1}, {Element Sb: 0.1}, {Element Te: 0.6}]","[Element Zr, Element Cr, Element Si, Element Sb, Element Te]",-50.02831834,Zr1Cr1Si1Sb1Te6,3.0109,1,4,4,0,"[160.0, 130.0, 132.0, 159.0, 160.0]","[14.1, 7.23, 12.1, 18.4, 20.5]","[154.0, 122.0, 115.99999999999999, 140.0, 136.0]","[121.0, 78.4, 37.31, 42.2, 37.0]","[0.426, 0.6659999999999999, 1.3895211, 1.046, 1.9708759999999999]","[40, 24, 14, 51, 52]",0,0,0,0,0,"['Zr', 'Cr', 'Si', 'Si', 'Te']"
71,71,-3.990649535,"[{Element Hf: 0.1}, {Element Cr: 0.1}, {Element Si: 0.2}, {Element Te: 0.6}]","[Element Hf, Element Cr, Element Si, Element Te]",-53.28684255,Hf1Cr1Si2Te6,2.7863,0,4,4,0,"[167.0, 130.0, 132.0, 160.0]","[13.6, 7.23, 12.1, 20.5]","[152.0, 122.0, 115.99999999999999, 136.0]","[109.0, 78.4, 37.31, 37.0]","[0.013999999999999999, 0.6659999999999999, 1.3895211, 1.9708759999999999]","[72, 24, 14, 52]",0,0,0,0,0,"['Hf', 'Cr', 'Si', 'Si', 'Te']"
72,72,-4.537093,"[{Element Hf: 0.1}, {Element Al: 0.1}, {Element Cr: 0.1}, {Element Sb: 0.1}, {Element Te: 0.6}]","[Element Hf, Element Al, Element Cr, Element Sb, Element Te]",-50.85841749,Hf1Al1Cr1Sb1Te6,2.8088,1,10,4,0,"[167.0, 143.0, 130.0, 159.0, 160.0]","[13.6, 10.0, 7.23, 18.4, 20.5]","[152.0, 126.0, 122.0, 140.0, 136.0]","[109.0, 46.0, 78.4, 42.2, 37.0]","[0.013999999999999999, 0.43283, 0.6659999999999999, 1.046, 1.9708759999999999]","[72, 13, 24, 51, 52]",0,0,0,0,0,"['Hf', 'Cr', 'Te']"
73,73,-3.69725928,"[{Element Zr: 0.1}, {Element Cr: 0.1}, {Element Si: 0.1}, {Element Te: 0.6}, {Element Pb: 0.1}]","[Element Zr, Element Cr, Element Si, Element Te, Element Pb]",-49.87640261,Zr1Cr1Si1Te6Pb1,2.7956,1,4,4,0,"[160.0, 130.0, 132.0, 160.0, 175.0]","[14.1, 7.23, 12.1, 20.5, 18.3]","[154.0, 122.0, 115.99999999999999, 136.0, 144.0]","[121.0, 78.4, 37.31, 37.0, 47.1]","[0.426, 0.6659999999999999, 1.3895211, 1.9708759999999999, 0.35674316]","[40, 24, 14, 52, 82]",0,0,0,0,0,"['Zr', 'Cr', 'Si', 'Si', 'Te']"
74,74,-3.406773187,"[{Element Sc: 0.1}, {Element Cr: 0.1}, {Element Sb: 0.1}, {Element Te: 0.6}, {Element P: 0.1}]","[Element Sc, Element Cr, Element Sb, Element Te, Element P]",-47.77072281,Sc1Cr1Sb1Te6P1,3.0088,1,10,3,0,"[162.0, 130.0, 159.0, 160.0, 128.0]","[15.0, 7.23, 18.4, 20.5, 17.0]","[148.0, 122.0, 140.0, 136.0, 111.00000000000001]","[142.28, 78.4, 42.2, 37.0, 24.93]","[0.188, 0.6659999999999999, 1.046, 1.9708759999999999, 0.746607]","[21, 24, 51, 52, 15]",0,0,0,0,0,"['Sc', 'Cr', 'P', 'P', 'Te']"
75,75,-3.34055438,"[{Element Zr: 0.1}, {Element Cr: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}, {Element As: 0.1}]","[Element Zr, Element Cr, Element Ge, Element Te, Element As]",-49.66008774,Zr1Cr1Ge1Te6As1,3.0108,0,4,4,0,"[160.0, 130.0, 137.0, 160.0, 139.0]","[14.1, 7.23, 13.6, 20.5, 13.1]","[154.0, 122.0, 121.0, 136.0, 121.0]","[121.0, 78.4, 39.43, 37.0, 29.8]","[0.426, 0.6659999999999999, 1.232712, 1.9708759999999999, 0.804]","[40, 24, 32, 52, 33]",0,0,0,0,0,"['Zr', 'Cr', 'Ge', 'Ge', 'Te']"
76,76,-0.850525227,"[{Element Cr: 0.1}, {Element Ag: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}, {Element P: 0.1}]","[Element Cr, Element Ag, Element Ge, Element Te, Element P]",-42.20599556,Cr1Ag1Ge1Te6P1,2.6231,1,4,11,0,"[130.0, 144.0, 137.0, 160.0, 128.0]","[7.23, 10.3, 13.6, 20.5, 17.0]","[122.0, 128.0, 121.0, 136.0, 111.00000000000001]","[78.4, 52.5, 39.43, 37.0, 24.93]","[0.6659999999999999, 1.3019999999999998, 1.232712, 1.9708759999999999, 0.746607]","[24, 47, 32, 52, 15]",0,0,0,0,0,"['Cr', 'Ag', 'Ge', 'P', 'Te']"
77,77,-0.81232331,"[{Element Cr: 0.1}, {Element Ag: 0.1}, {Element Ge: 0.2}, {Element Te: 0.6}]","[Element Cr, Element Ag, Element Ge, Element Te]",-41.3807455,Cr1Ag1Ge2Te6,2.4821,0,4,11,0,"[130.0, 144.0, 137.0, 160.0]","[7.23, 10.3, 13.6, 20.5]","[122.0, 128.0, 121.0, 136.0]","[78.4, 52.5, 39.43, 37.0]","[0.6659999999999999, 1.3019999999999998, 1.232712, 1.9708759999999999]","[24, 47, 32, 52]",0,0,0,0,0,"['Cr', 'Ag', 'Ge', 'Ge', 'Te']"
