,Material,sign_MA,log_MA,sine coulomb matrix eig 0,sine coulomb matrix eig 1,sine coulomb matrix eig 2,sine coulomb matrix eig 3,sine coulomb matrix eig 4,sine coulomb matrix eig 5,X_rad,Abar_rad,dA_rad,Abar-X_rad,dAXbar_rad,ddAX_rad,X_dipole,Abar_dipole,dA_dipole,Abar-X_dipole,dAXbar_dipole,ddAX_dipole,X_nvalence,Abar_nvalence,dA_nvalence,Abar-X_nvalence,dAXbar_nvalence,ddAX_nvalence,X_nup,Abar_nup,dA_nup,Abar-X_nup,dAXbar_nup,ddAX_nup,X_num_d,Abar_num_d,dA_num_d,Abar-X_num_d,dAXbar_num_d,ddAX_num_d,X_volume,Abar_volume,dA_volume,Abar-X_volume,dAXbar_volume,ddAX_volume,X_ion_energy,Abar_ion_energy,dA_ion_energy,Abar-X_ion_energy,dAXbar_ion_energy,ddAX_ion_energy,X_electron_affinity,Abar_electron_affinity,dA_electron_affinity,Abar-X_electron_affinity,dAXbar_electron_affinity,ddAX_electron_affinity,X_electronegativity,Abar_electronegativity,dA_electronegativity,Abar-X_electronegativity,dAXbar_electronegativity,ddAX_electronegativity,Abar_SOCC,dA_SOCC,AXsumbar_rad
72,1T-Mn1Ag1Se4,-1,-8.249783982,5269.362160090475,1079.7495964720645,2640.2774400016015,2240.0174068118945,2214.721900161368,2315.687746003664,116,123.5,9,7.5,7.5,9.0,28.9,61.5,13.0,32.6,32.6,13.0,6,9.0,4,3.0,3.0,4,2,3.0,0,1.0,1.0,0,10,10.0,14,0.0,7.0,0,16.5,8.845,2.91,7.655,7.655,2.91,9.752392,7.505126,0.142216,2.247266,2.247266,0.142216,2.02067,0.651,1.302,1.36967,1.36967,1.302,2.02067,0.651,1.302,1.36967,1.36967,1.302,1154.5,-1521.0,239.5
73,1T-Mn1Ag1Te4,-1,-8.041704632,1100.525554574122,7625.455035703221,4860.003362233188,6317.571127351543,6206.877075771616,6443.046320416797,136,123.5,9,12.5,12.5,9.0,38.0,61.5,13.0,23.5,23.5,13.0,6,9.0,4,3.0,3.0,4,2,3.0,0,1.0,1.0,0,20,10.0,14,10.0,10.0,14,20.5,8.845,2.91,11.655,11.655,2.91,9.00966,7.505126,0.142216,1.504534,1.504534,0.142216,1.970876,0.651,1.302,1.319876,1.319876,1.302,1.970876,0.651,1.302,1.319876,1.319876,1.302,1154.5,-1521.0,259.5
74,1T-Mn1Au1S4,1,-7.932438897,17929.24116822125,1155.6963498141295,428.89224539249,357.9480216518873,353.9131970784135,376.2724155439572,103,121.5,5,18.5,18.5,5.0,19.4,52.0,32.0,32.6,32.6,32.0,6,9.0,4,3.0,3.0,4,2,3.0,0,1.0,1.0,0,0,15.0,24,15.0,15.0,24,15.5,8.795,2.81,6.705,6.705,2.81,10.36001,8.3297855,1.791535,2.0302245,2.0302245,1.791535,2.07710403,1.154315,2.30863,0.92278903,1.154315,1.84557806,2.07710403,1.154315,2.30863,0.92278903,1.154315,1.84557806,2988.5,-5189.0,224.5
75,1T-Mn1Au1Se4,1,-7.30528198,17972.90238331988,1079.7605005565197,2695.518053616214,2246.2829316782495,2214.721900216394,2315.6877460038154,116,121.5,5,5.5,5.5,5.0,28.9,52.0,32.0,23.1,23.1,32.0,6,9.0,4,3.0,3.0,4,2,3.0,0,1.0,1.0,0,10,15.0,24,5.0,12.0,10,16.5,8.795,2.81,7.705,7.705,2.81,9.752392,8.3297855,1.791535,1.4226065,1.4226065,1.791535,2.02067,1.154315,2.30863,0.866355,1.154315,1.73271,2.02067,1.154315,2.30863,0.866355,1.154315,1.73271,2988.5,-5189.0,237.5
76,1T-Mn1Au1Te4,-1,-7.212630985,18097.803568514562,1100.6645827718794,7201.7940872747895,6268.35010739914,6206.877075524581,6443.046320415533,136,121.5,5,14.5,14.5,5.0,38.0,52.0,32.0,14.0,16.0,28.0,6,9.0,4,3.0,3.0,4,2,3.0,0,1.0,1.0,0,20,15.0,24,5.0,12.0,10,20.5,8.795,2.81,11.705,11.705,2.81,9.00966,8.3297855,1.791535,0.6798745,0.8957675,1.359749,1.970876,1.154315,2.30863,0.816561,1.154315,1.633122,1.970876,1.154315,2.30863,0.816561,1.154315,1.633122,2988.5,-5189.0,257.5
77,1T-Mn1Cd1Se4,-1,-8.807980079,5530.132859791097,1079.7503359606333,2645.89404101186,2240.6573591503156,2214.7219001681106,2315.6877460036794,116,127.5,17,11.5,11.5,17.0,28.9,57.0,22.0,28.1,28.1,22.0,6,9.5,5,3.5,3.5,5,2,2.5,1,0.5,0.5,1,10,10.5,15,0.5,7.5,1,16.5,10.245,5.71,6.255,6.255,5.71,9.752392,8.21392,1.559804,1.538472,1.538472,1.559804,2.02067,0.0,0.0,2.02067,2.02067,0.0,2.02067,0.0,0.0,2.02067,2.02067,0.0,1200.5,-1613.0,243.5
78,1T-Mn1Cd1Te4,1,-7.477022492,1100.5349867124878,7664.751290173692,5081.170693399307,6324.126102101153,6206.877075791472,6443.04632041701,136,127.5,17,8.5,8.5,17.0,38.0,57.0,22.0,19.0,19.0,22.0,6,9.5,5,3.5,3.5,5,2,2.5,1,0.5,0.5,1,20,10.5,15,9.5,9.5,15,20.5,10.245,5.71,10.255,10.255,5.71,9.00966,8.21392,1.559804,0.79574,0.79574,1.559804,1.970876,0.0,0.0,1.970876,1.970876,0.0,1.970876,0.0,0.0,1.970876,1.970876,0.0,1200.5,-1613.0,263.5
79,1T-Mn1Co1S4,1,-8.738557077,1403.5025141473116,1136.8111417194468,419.1421299566736,357.12737263332934,353.9131970719058,376.2724155439453,103,115.0,8,12.0,12.0,8.0,19.4,61.5,13.0,42.1,42.1,13.0,6,8.0,2,2.0,2.0,2,2,4.0,2,2.0,2.0,2,0,4.0,2,4.0,4.0,2,15.5,7.045,0.69,8.455,8.455,0.69,10.36001,7.657514,0.446992,2.702496,2.702496,0.446992,2.07710403,0.33112823,0.66225646,1.7459758,1.7459758,0.66225646,2.07710403,0.33112823,0.66225646,1.7459758,1.7459758,0.66225646,244.0,300.0,218.0
80,1T-Mn1Co1Se4,1,-8.460647465,1079.5892867722332,2808.0522581493274,1291.0508367309405,2260.5768608146323,2214.721900290209,2315.687746004222,116,115.0,8,1.0,4.0,2.0,28.9,61.5,13.0,32.6,32.6,13.0,6,8.0,2,2.0,2.0,2,2,4.0,2,2.0,2.0,2,10,4.0,2,6.0,6.0,2,16.5,7.045,0.69,9.455,9.455,0.69,9.752392,7.657514,0.446992,2.094878,2.094878,0.446992,2.02067,0.33112823,0.66225646,1.68954177,1.68954177,0.66225646,2.02067,0.33112823,0.66225646,1.68954177,1.68954177,0.66225646,244.0,300.0,231.0
81,1T-Mn1Co1Te4,1,-9.562027774,1098.503016655237,1326.3003551166032,7400.154299099416,6288.460048327806,6206.877075655917,6443.0463204160005,136,115.0,8,21.0,21.0,8.0,38.0,61.5,13.0,23.5,23.5,13.0,6,8.0,2,2.0,2.0,2,2,4.0,2,2.0,2.0,2,20,4.0,2,16.0,16.0,2,20.5,7.045,0.69,13.455,13.455,0.69,9.00966,7.657514,0.446992,1.352146,1.352146,0.446992,1.970876,0.33112823,0.66225646,1.63974777,1.63974777,0.66225646,1.970876,0.33112823,0.66225646,1.63974777,1.63974777,0.66225646,244.0,300.0,251.0
82,1T-Mn1Cr1S4,1,-11.36321319,1188.631490993451,1020.5024064377887,415.2524118655365,356.7690824827864,353.9131970679614,376.27241554393964,103,120.5,3,17.5,17.5,3.0,19.4,75.5,15.0,56.1,56.1,15.0,6,6.5,1,0.5,0.5,1,2,2.5,1,0.5,0.5,1,0,2.5,1,2.5,2.5,1,15.5,7.31,0.16,8.19,8.19,0.16,10.36001,7.100264,0.667508,3.259746,3.259746,0.667508,2.07710403,0.333,0.666,1.74410403,1.74410403,0.666,2.07710403,0.333,0.666,1.74410403,1.74410403,0.666,346.0,96.0,223.5
83,1T-Mn1Cr1Se4,-1,-8.950903465,1080.11371502344,980.5028862685763,2785.908989775543,2257.315884731673,2214.7219002770585,2315.6877460041183,116,120.5,3,4.5,4.5,3.0,28.9,75.5,15.0,46.6,46.6,15.0,6,6.5,1,0.5,0.5,1,2,2.5,1,0.5,0.5,1,10,2.5,1,7.5,7.5,1,16.5,7.31,0.16,9.19,9.19,0.16,9.752392,7.100264,0.667508,2.652128,2.652128,0.667508,2.02067,0.333,0.666,1.68767,1.68767,0.666,2.02067,0.333,0.666,1.68767,1.68767,0.666,346.0,96.0,236.5
84,1T-Mn1Cr1Te4,1,-7.208225438,1105.0364454178023,993.9718929276605,7391.467659073858,6287.513955103508,6206.8770756510385,6443.0463204159805,136,120.5,3,15.5,15.5,3.0,38.0,75.5,15.0,37.5,37.5,15.0,6,6.5,1,0.5,0.5,1,2,2.5,1,0.5,0.5,1,20,2.5,1,17.5,17.5,1,20.5,7.31,0.16,13.19,13.19,0.16,9.00966,7.100264,0.667508,1.909396,1.909396,0.667508,1.970876,0.333,0.666,1.637876,1.637876,0.666,1.970876,0.333,0.666,1.637876,1.637876,0.666,346.0,96.0,256.5
85,1T-Mn1Cu1S4,1,-10.96278298,1647.4874785477894,1145.9073432319583,420.76761694747785,357.2704553562116,353.91319707325584,376.2724155439476,103,115.5,7,12.5,12.5,7.0,19.4,57.25,21.5,37.85,37.85,21.5,6,9.0,4,3.0,3.0,4,2,3.0,0,1.0,1.0,0,0,5.0,4,5.0,5.0,4,15.5,7.245,0.29,8.255,8.255,0.29,10.36001,7.580199,0.292362,2.779811,2.779811,0.292362,2.07710403,0.6175,1.235,1.45960403,1.45960403,1.235,2.07710403,0.6175,1.235,1.45960403,1.45960403,1.235,673.0,-558.0,218.5
86,1T-Mn1Cu1Se4,-1,-9.642200791,1079.6770969336033,2831.7777358710846,1518.2112377322703,2264.452907544209,2214.7219003040586,2315.6877460043565,116,115.5,7,0.5,3.5,1.0,28.9,57.25,21.5,28.35,28.35,21.5,6,9.0,4,3.0,3.0,4,2,3.0,0,1.0,1.0,0,10,5.0,4,5.0,5.0,4,16.5,7.245,0.29,9.255,9.255,0.29,9.752392,7.580199,0.292362,2.172193,2.172193,0.292362,2.02067,0.6175,1.235,1.40317,1.40317,1.235,2.02067,0.6175,1.235,1.40317,1.40317,1.235,673.0,-558.0,231.5
87,1T-Mn1Cu1Te4,-1,-9.612236855,1099.603139213118,1572.227063166976,7407.204352638307,6289.232899804754,6206.877075659833,6443.046320416022,136,115.5,7,20.5,20.5,7.0,38.0,57.25,21.5,19.25,19.25,21.5,6,9.0,4,3.0,3.0,4,2,3.0,0,1.0,1.0,0,20,5.0,4,15.0,15.0,4,20.5,7.245,0.29,13.255,13.255,0.29,9.00966,7.580199,0.292362,1.429461,1.429461,0.292362,1.970876,0.6175,1.235,1.353376,1.353376,1.235,1.970876,0.6175,1.235,1.353376,1.353376,1.235,673.0,-558.0,251.5
88,1T-Mn1Fe1S4,-1,-9.535724312,1299.7762206278992,1123.7166744143212,418.0955191937355,357.03334926744486,353.9131970709551,376.27241554394385,103,117.5,3,14.5,14.5,3.0,19.4,65.0,6.0,45.6,45.6,6.0,6,7.5,1,1.5,1.5,1,2,3.5,1,1.5,1.5,1,0,3.5,1,3.5,3.5,1,15.5,7.245,0.29,8.255,8.255,0.29,10.36001,7.6682429,0.4684498,2.6917671,2.6917671,0.4684498,2.07710403,0.0755,0.151,2.00160403,2.00160403,0.151,2.07710403,0.0755,0.151,2.00160403,2.00160403,0.151,460.0,-132.0,220.5
89,1T-Mn1Fe1Se4,1,-9.01075208,2799.3281267678385,1079.414198756366,1183.3094718025034,2259.256050191297,2214.721900285066,2315.6877460041783,116,117.5,3,1.5,1.5,3.0,28.9,65.0,6.0,36.1,36.1,6.0,6,7.5,1,1.5,1.5,1,2,3.5,1,1.5,1.5,1,10,3.5,1,6.5,6.5,1,16.5,7.245,0.29,9.255,9.255,0.29,9.752392,7.6682429,0.4684498,2.0841491,2.0841491,0.4684498,2.02067,0.0755,0.151,1.94517,1.94517,0.151,2.02067,0.0755,0.151,1.94517,1.94517,0.151,460.0,-132.0,233.5
90,1T-Mn1Fe1Te4,1,-8.255059723,1096.4174471699616,1213.8888629346122,7397.030885235905,6288.119128906037,6206.87707565417,6443.046320415993,136,117.5,3,18.5,18.5,3.0,38.0,65.0,6.0,27.0,27.0,6.0,6,7.5,1,1.5,1.5,1,2,3.5,1,1.5,1.5,1,20,3.5,1,16.5,16.5,1,20.5,7.245,0.29,13.255,13.255,0.29,9.00966,7.6682429,0.4684498,1.3414171,1.3414171,0.4684498,1.970876,0.0755,0.151,1.895376,1.895376,0.151,1.970876,0.0755,0.151,1.895376,1.895376,0.151,460.0,-132.0,253.5
91,1T-Mn1Hf1S4,1,-9.297097236,14353.015943448188,1155.5448586805396,428.51968759986124,357.91812561611414,353.91319707822,376.2724155439569,103,135.5,33,32.5,32.5,33.0,19.4,85.5,35.0,66.1,66.1,35.0,6,5.5,3,0.5,1.5,1,2,1.5,3,0.5,1.5,1,0,11.5,17,11.5,11.5,17,15.5,10.495,6.21,5.005,5.005,6.21,10.36001,7.129544,0.608948,3.230466,3.230466,0.608948,2.07710403,0.007,0.014,2.07010403,2.07010403,0.014,2.07710403,0.007,0.014,2.07010403,2.07010403,0.014,1184.0,-1580.0,238.5
92,1T-Mn1Hf1Se4,-1,-8.309650706,14400.798845409437,1079.759230906771,2691.3257263809314,2245.800896741984,2214.7219002128845,2315.687746003802,116,135.5,33,19.5,19.5,33.0,28.9,85.5,35.0,56.6,56.6,35.0,6,5.5,3,0.5,1.5,1,2,1.5,3,0.5,1.5,1,10,11.5,17,1.5,8.5,3,16.5,10.495,6.21,6.005,6.005,6.21,9.752392,7.129544,0.608948,2.622848,2.622848,0.608948,2.02067,0.007,0.014,2.01367,2.01367,0.014,2.02067,0.007,0.014,2.01367,2.01367,0.014,1184.0,-1580.0,251.5
93,1T-Mn1Hg1S4,1,-9.683388631,18478.327125614735,1155.7154617423314,428.940687397291,357.95189683862196,353.913197078438,376.2724155439572,103,126.0,14,23.0,23.0,14.0,19.4,50.955,34.09,31.555,31.555,34.09,6,9.5,5,3.5,3.5,5,2,2.5,1,0.5,0.5,1,0,15.5,25,15.5,15.5,25,15.5,11.095,7.41,4.405,4.405,7.41,10.36001,8.935761,3.003486,1.424249,1.501743,2.848498,2.07710403,0.0,0.0,2.07710403,2.07710403,0.0,2.07710403,0.0,0.0,2.07710403,2.07710403,0.0,3397.0,-6006.0,229.0
94,1T-Mn1Hg1Te4,1,-7.515697714,18642.683542327937,1100.6666244960072,7205.678743413446,6268.740822232978,6206.877075527865,6443.046320415541,136,126.0,14,10.0,10.0,14.0,38.0,50.955,34.09,12.955,17.045,25.91,6,9.5,5,3.5,3.5,5,2,2.5,1,0.5,0.5,1,20,15.5,25,4.5,12.5,9,20.5,11.095,7.41,9.405,9.405,7.41,9.00966,8.935761,3.003486,0.073899,1.501743,0.147798,1.970876,0.0,0.0,1.970876,1.970876,0.0,1.970876,0.0,0.0,1.970876,1.970876,0.0,3397.0,-6006.0,262.0
95,1T-Mn1Ir1S4,-1,-7.886746223,16859.964320140938,1155.6564009665265,428.79203008510973,357.9399957397849,353.9131970783613,376.2724155439572,103,120.5,3,17.5,17.5,3.0,19.4,61.0,14.0,41.6,41.6,14.0,6,8.0,2,2.0,2.0,2,2,4.0,2,2.0,2.0,2,0,14.0,22,14.0,14.0,22,15.5,7.965,1.15,7.535,7.535,1.15,10.36001,8.200519,1.533002,2.159491,2.159491,1.533002,2.07710403,0.7819,1.5638,1.29520403,1.29520403,1.5638,2.07710403,0.7819,1.5638,1.29520403,1.29520403,1.5638,1495.5,-2203.0,223.5
96,1T-Mn1Ir1Se4,-1,-9.000890148,16904.668169103123,1079.760165718908,2694.4505939468872,2246.1599022553687,2214.7219002155084,2315.687746003811,116,120.5,3,4.5,4.5,3.0,28.9,61.0,14.0,32.1,32.1,14.0,6,8.0,2,2.0,2.0,2,2,4.0,2,2.0,2.0,2,10,14.0,22,4.0,11.0,8,16.5,7.965,1.15,8.535,8.535,1.15,9.752392,8.200519,1.533002,1.551873,1.551873,1.533002,2.02067,0.7819,1.5638,1.23877,1.23877,1.5638,2.02067,0.7819,1.5638,1.23877,1.23877,1.5638,1495.5,-2203.0,236.5
97,1T-Mn1Ir1Te4,1,-8.372811502,17037.98182507065,1100.6603151431686,7193.073266106402,6267.471901500245,6206.87707551707,6443.046320415511,136,120.5,3,15.5,15.5,3.0,38.0,61.0,14.0,23.0,23.0,14.0,6,8.0,2,2.0,2.0,2,2,4.0,2,2.0,2.0,2,20,14.0,22,6.0,11.0,12,20.5,7.965,1.15,12.535,12.535,1.15,9.00966,8.200519,1.533002,0.809141,0.809141,1.533002,1.970876,0.7819,1.5638,1.188976,1.188976,1.5638,1.970876,0.7819,1.5638,1.188976,1.188976,1.5638,1495.5,-2203.0,256.5
98,1T-Mn1Lu1S4,-1,-8.805742306,13879.722038266986,1155.5202205185885,428.4610118716369,357.91340289871323,353.9131970781899,376.27241554395715,103,140.5,43,37.5,37.5,43.0,19.4,102.5,69.0,83.1,83.1,69.0,6,4.5,5,1.5,2.5,3,2,2.0,2,0.0,1.0,0,0,11.5,17,11.5,11.5,17,15.5,12.595,10.41,2.905,5.205,5.81,10.36001,6.4299445,2.008147,3.9300655,3.9300655,2.008147,2.07710403,0.17,0.34,1.90710403,1.90710403,0.34,2.07710403,0.17,0.34,1.90710403,1.90710403,0.34,497.5,-207.0,243.5
99,1T-Mn1Lu1Se4,-1,-9.530614509,13928.220175641354,1079.7590244463302,2690.6052109802727,2245.7183465829603,2214.721900212272,2315.687746003801,116,140.5,43,24.5,24.5,43.0,28.9,102.5,69.0,73.6,73.6,69.0,6,4.5,5,1.5,2.5,3,2,2.0,2,0.0,1.0,0,10,11.5,17,1.5,8.5,3,16.5,12.595,10.41,3.905,5.205,7.81,9.752392,6.4299445,2.008147,3.3224475,3.3224475,2.008147,2.02067,0.17,0.34,1.85067,1.85067,0.34,2.02067,0.17,0.34,1.85067,1.85067,0.34,497.5,-207.0,256.5
100,1T-Mn1Mo1S4,1,-10.31915452,3950.8556533255846,1153.8052463822921,425.4500149422898,357.6671626289415,353.9131970764876,376.2724155439533,103,128.5,19,25.5,25.5,19.0,19.4,77.5,19.0,58.1,58.1,19.0,6,6.5,1,0.5,0.5,1,2,2.5,1,0.5,0.5,1,0,7.5,9,7.5,7.5,9,15.5,8.395,2.01,7.105,7.105,2.01,10.36001,7.263224,0.341588,3.096786,3.096786,0.341588,2.07710403,0.374,0.748,1.70310403,1.70310403,0.748,2.07710403,0.374,0.748,1.70310403,1.70310403,0.748,647.5,-507.0,231.5
101,1T-Mn1Mo1Se4,1,-11.34233916,4105.131512156805,1079.7446808717523,2591.3856965681657,2234.202271907236,2214.7219000810055,2315.6877460035316,116,128.5,19,12.5,12.5,19.0,28.9,77.5,19.0,48.6,48.6,19.0,6,6.5,1,0.5,0.5,1,2,2.5,1,0.5,0.5,1,10,7.5,9,2.5,4.5,5,16.5,8.395,2.01,8.105,8.105,2.01,9.752392,7.263224,0.341588,2.489168,2.489168,0.341588,2.02067,0.374,0.748,1.64667,1.64667,0.748,2.02067,0.374,0.748,1.64667,1.64667,0.748,647.5,-507.0,244.5
102,1T-Mn1Mo1Te4,-1,-9.430114606,1100.4628505466812,3774.9865399111245,7508.124772827393,6301.0384746835325,6206.8770757128705,6443.046320416325,136,128.5,19,7.5,9.5,15.0,38.0,77.5,19.0,39.5,39.5,19.0,6,6.5,1,0.5,0.5,1,2,2.5,1,0.5,0.5,1,20,7.5,9,12.5,12.5,9,20.5,8.395,2.01,12.105,12.105,2.01,9.00966,7.263224,0.341588,1.746436,1.746436,0.341588,1.970876,0.374,0.748,1.596876,1.596876,0.748,1.970876,0.374,0.748,1.596876,1.596876,0.748,647.5,-507.0,264.5
103,1T-Mn1Nb1S4,1,-9.107197313,3730.200671072512,1153.64574448739,425.2494755923338,357.650536312,353.9131970763649,376.27241554395323,103,133.0,28,30.0,30.0,28.0,19.4,83.0,30.0,63.6,63.6,30.0,6,6.0,2,0.0,1.0,0,2,2.0,2,0.0,1.0,0,0,7.0,8,7.0,7.0,8,15.5,9.095,3.41,6.405,6.405,3.41,10.36001,7.096434,0.675168,3.263576,3.263576,0.675168,2.07710403,0.458703,0.917406,1.61840103,1.61840103,0.917406,2.07710403,0.458703,0.917406,1.61840103,1.61840103,0.917406,541.0,-294.0,236.0
104,1T-Mn1Nb1Se4,-1,-9.512053758,1079.7433474911895,3903.845856253123,2573.896906932851,2231.9464010569773,2214.7219000358755,2315.687746003482,116,133.0,28,17.0,17.0,28.0,28.9,83.0,30.0,54.1,54.1,30.0,6,6.0,2,0.0,1.0,0,2,2.0,2,0.0,1.0,0,10,7.0,8,3.0,4.0,6,16.5,9.095,3.41,7.405,7.405,3.41,9.752392,7.096434,0.675168,2.655958,2.655958,0.675168,2.02067,0.458703,0.917406,1.561967,1.561967,0.917406,2.02067,0.458703,0.917406,1.561967,1.561967,0.917406,541.0,-294.0,249.0
105,1T-Mn1Nb1Te4,-1,-9.510364968,1100.4458411123178,3570.0056737156247,7493.8638332908595,6299.26564004223,6206.87707570562,6443.046320416277,136,133.0,28,3.0,14.0,6.0,38.0,83.0,30.0,45.0,45.0,30.0,6,6.0,2,0.0,1.0,0,2,2.0,2,0.0,1.0,0,20,7.0,8,13.0,13.0,8,20.5,9.095,3.41,11.405,11.405,3.41,9.00966,7.096434,0.675168,1.913226,1.913226,0.675168,1.970876,0.458703,0.917406,1.512173,1.512173,0.917406,1.970876,0.458703,0.917406,1.512173,1.512173,0.917406,541.0,-294.0,269.0
106,1T-Mn1Ni1Se4,-1,-8.728686126,1079.6478127769292,2818.6627651919184,1402.943193032395,2262.2551780676026,2214.7219002964157,2315.687746004278,116,114.5,9,1.5,4.5,3.0,28.9,58.5,19.0,29.6,29.6,19.0,6,8.5,3,2.5,2.5,3,2,3.5,1,1.5,1.5,1,10,4.5,3,5.5,5.5,3,16.5,6.995,0.79,9.505,9.505,0.79,9.752392,7.5369475,0.205859,2.2154445,2.2154445,0.205859,2.02067,0.578,1.156,1.44267,1.44267,1.156,2.02067,0.578,1.156,1.44267,1.44267,1.156,565.0,-342.0,230.5
107,1T-Mn1Ni1Te4,-1,-7.873144348,1099.2334904786183,1446.0574569484022,7403.536282874228,6288.830195503913,6206.877075657803,6443.046320416011,136,114.5,9,21.5,21.5,9.0,38.0,58.5,19.0,20.5,20.5,19.0,6,8.5,3,2.5,2.5,3,2,3.5,1,1.5,1.5,1,20,4.5,3,15.5,15.5,3,20.5,6.995,0.79,13.505,13.505,0.79,9.00966,7.5369475,0.205859,1.4727125,1.4727125,0.205859,1.970876,0.578,1.156,1.392876,1.392876,1.156,1.970876,0.578,1.156,1.392876,1.392876,1.156,565.0,-342.0,250.5
108,1T-Mn1Os1S4,-1,-8.660255574,16339.675158898162,1155.6355005040048,428.74016154463243,357.9358370631433,353.9131970783348,376.27241554395704,103,124.0,10,21.0,21.0,10.0,19.4,62.5,11.0,43.1,43.1,11.0,6,7.5,1,1.5,1.5,1,2,3.5,1,1.5,1.5,1,0,13.5,21,13.5,13.5,21,15.5,7.91,1.04,7.59,7.59,1.04,10.36001,7.936124,1.004212,2.423886,2.423886,1.004212,2.07710403,0.55,1.1,1.52710403,1.52710403,1.1,2.07710403,0.55,1.1,1.52710403,1.52710403,1.1,3556.0,-6324.0,227.0
109,1T-Mn1Os1Te4,1,-6.847855626,16523.031252935038,1100.6580824709674,7188.155979009468,6266.975904486901,6206.877075512732,6443.046320415499,136,124.0,10,12.0,12.0,10.0,38.0,62.5,11.0,24.5,24.5,11.0,6,7.5,1,1.5,1.5,1,2,3.5,1,1.5,1.5,1,20,13.5,21,6.5,10.5,13,20.5,7.91,1.04,12.59,12.59,1.04,9.00966,7.936124,1.004212,1.073536,1.073536,1.004212,1.970876,0.55,1.1,1.420876,1.420876,1.1,1.970876,0.55,1.1,1.420876,1.420876,1.1,3556.0,-6324.0,260.0
110,1T-Mn1Pd1S4,-1,-11.77884605,4909.372515810249,1154.2970590283994,426.1360189423661,357.7238362881624,353.9131970768972,376.27241554395414,103,119.5,1,16.5,16.5,1.0,19.4,47.07,41.86,27.67,27.67,41.86,6,9.5,5,3.5,3.5,5,2,3.5,1,1.5,1.5,1,0,9.5,13,9.5,9.5,13,15.5,8.145,1.51,7.355,7.355,1.51,10.36001,7.885439,0.902842,2.474571,2.474571,0.902842,2.07710403,0.281,0.562,1.79610403,1.79610403,0.562,2.07710403,0.281,0.562,1.79610403,1.79610403,0.562,971.0,-1154.0,222.5
111,1T-Mn1Pd1Se4,-1,-9.581983932,5017.490783348725,1079.7487912344045,2633.71139486629,2239.2645447728905,2214.7219001530107,2315.6877460036458,116,119.5,1,3.5,3.5,1.0,28.9,47.07,41.86,18.17,20.93,36.34,6,9.5,5,3.5,3.5,5,2,3.5,1,1.5,1.5,1,10,9.5,13,0.5,6.5,1,16.5,8.145,1.51,8.355,8.355,1.51,9.752392,7.885439,0.902842,1.866953,1.866953,0.902842,2.02067,0.281,0.562,1.73967,1.73967,0.562,2.02067,0.281,0.562,1.73967,1.73967,0.562,971.0,-1154.0,235.5
112,1T-Mn1Pd1Te4,-1,-7.346260241,1100.5152834480386,7593.176223034379,4638.054753641472,6312.617730592396,6206.877075755466,6443.046320416649,136,119.5,1,16.5,16.5,1.0,38.0,47.07,41.86,9.07,20.93,18.14,6,9.5,5,3.5,3.5,5,2,3.5,1,1.5,1.5,1,20,9.5,13,10.5,10.5,13,20.5,8.145,1.51,12.355,12.355,1.51,9.00966,7.885439,0.902842,1.124221,1.124221,0.902842,1.970876,0.281,0.562,1.689876,1.689876,0.562,1.970876,0.281,0.562,1.689876,1.689876,0.562,971.0,-1154.0,255.5
113,1T-Mn1Pt1S4,-1,-8.346459347,17389.803215969507,1155.676673083521,428.84270834525694,357.9440559037571,353.9131970783877,376.27241554395744,103,121.0,4,18.0,18.0,4.0,19.4,58.0,20.0,38.6,38.6,20.0,6,8.5,3,2.5,2.5,3,2,3.5,1,1.5,1.5,1,0,14.5,23,14.5,14.5,23,15.5,8.245,1.71,7.255,7.255,1.71,10.36001,8.196424,1.524812,2.163586,2.163586,1.524812,2.07710403,1.064,2.128,1.01310403,1.064,2.02620806,2.07710403,1.064,2.128,1.01310403,1.064,2.02620806,2052.5,-3317.0,224.0
114,1T-Mn1Pt1Se4,1,-8.098927034,17433.97417136778,1079.7603356313423,2694.995546122821,2246.2226842716195,2214.72190021596,2315.687746003813,116,121.0,4,5.0,5.0,4.0,28.9,58.0,20.0,29.1,29.1,20.0,6,8.5,3,2.5,2.5,3,2,3.5,1,1.5,1.5,1,10,14.5,23,4.5,11.5,9,16.5,8.245,1.71,8.255,8.255,1.71,9.752392,8.196424,1.524812,1.555968,1.555968,1.524812,2.02067,1.064,2.128,0.95667,1.064,1.91334,2.02067,1.064,2.128,0.95667,1.064,1.91334,2052.5,-3317.0,237.0
115,1T-Mn1Pt1Te4,-1,-7.87142592,17562.90555816375,1100.662480740096,7197.604737996097,6267.928437286321,6206.877075520997,6443.046320415522,136,121.0,4,15.0,15.0,4.0,38.0,58.0,20.0,20.0,20.0,20.0,6,8.5,3,2.5,2.5,3,2,3.5,1,1.5,1.5,1,20,14.5,23,5.5,11.5,11,20.5,8.245,1.71,12.255,12.255,1.71,9.00966,8.196424,1.524812,0.813236,0.813236,1.524812,1.970876,1.064,2.128,0.906876,1.064,1.813752,1.970876,1.064,2.128,0.906876,1.064,1.813752,2052.5,-3317.0,257.0
