,Material,sign_MA,log_MA,sine coulomb matrix eig 0,sine coulomb matrix eig 1,sine coulomb matrix eig 2,sine coulomb matrix eig 3,sine coulomb matrix eig 4,sine coulomb matrix eig 5,X_rad,Abar_rad,dA_rad,Abar-X_rad,dAXbar_rad,ddAX_rad,X_dipole,Abar_dipole,dA_dipole,Abar-X_dipole,dAXbar_dipole,ddAX_dipole,X_nvalence,Abar_nvalence,dA_nvalence,Abar-X_nvalence,dAXbar_nvalence,ddAX_nvalence,X_nup,Abar_nup,dA_nup,Abar-X_nup,dAXbar_nup,ddAX_nup,X_num_d,Abar_num_d,dA_num_d,Abar-X_num_d,dAXbar_num_d,ddAX_num_d,X_volume,Abar_volume,dA_volume,Abar-X_volume,dAXbar_volume,ddAX_volume,X_ion_energy,Abar_ion_energy,dA_ion_energy,Abar-X_ion_energy,dAXbar_ion_energy,ddAX_ion_energy,X_electron_affinity,Abar_electron_affinity,dA_electron_affinity,Abar-X_electron_affinity,dAXbar_electron_affinity,ddAX_electron_affinity,X_electronegativity,Abar_electronegativity,dA_electronegativity,Abar-X_electronegativity,dAXbar_electronegativity,ddAX_electronegativity,Abar_SOCC,dA_SOCC,AXsumbar_rad
52,1T-Fe1Ni1Te4,-1,-8.906797254,1206.9480464974301,1446.9126675700854,7406.424474125482,6289.149400629347,6206.877075659444,6443.046320416017,136,113.0,6,23.0,23.0,6.0,38.0,55.5,13.0,17.5,17.5,13.0,6,9.0,2,3.0,3.0,2,2,4.0,0,2.0,2.0,0,20,5.0,2,15.0,15.0,2,20.5,6.85,0.5,13.65,13.65,0.5,9.00966,7.7711724,0.2625908,1.2384876,1.2384876,0.2625908,1.970876,0.6535,1.005,1.317376,1.317376,1.005,1.970876,0.6535,1.005,1.317376,1.317376,1.005,631.0,-210.0,249.0
53,1T-Fe1Pd1S4,1,-7.990513904,4909.6369683390585,1264.280940879028,427.5252352328005,357.8634486354949,353.91319707854626,376.2724155439568,103,118.0,4,15.0,15.0,4.0,19.4,44.07,35.86,24.67,24.67,35.86,6,10.0,4,4.0,4.0,4,2,4.0,0,2.0,2.0,0,0,10.0,12,10.0,10.0,12,15.5,8.0,1.8,7.5,7.5,1.8,10.36001,8.1196639,0.4343922,2.2403461,2.2403461,0.4343922,2.07710403,0.3565,0.411,1.72060403,1.72060403,0.411,2.07710403,0.3565,0.411,1.72060403,1.72060403,0.411,1037.0,-1022.0,221.0
54,1T-Fe1Pd1Se4,1,-6.657950323,5018.067944102499,1183.1779891665897,2640.9237213828155,2239.8230225871425,2214.7219001551207,2315.6877460036526,116,118.0,4,2.0,2.0,4.0,28.9,44.07,35.86,15.17,17.93,30.34,6,10.0,4,4.0,4.0,4,2,4.0,0,2.0,2.0,0,10,10.0,12,0.0,6.0,0,16.5,8.0,1.8,8.5,8.5,1.8,9.752392,8.1196639,0.4343922,1.6327281,1.6327281,0.4343922,2.02067,0.3565,0.411,1.66417,1.66417,0.411,2.02067,0.3565,0.411,1.66417,1.66417,0.411,1037.0,-1022.0,234.0
55,1T-Fe1Rh1S4,-1,-8.743309908,4658.505036313245,1264.1630888396382,427.3669883701727,357.8501630169301,353.9131970784483,376.27241554395664,103,120.5,9,17.5,17.5,9.0,19.4,64.0,4.0,44.6,44.6,4.0,6,8.5,1,2.5,2.5,1,2,4.5,1,2.5,2.5,1,0,9.5,11,9.5,9.5,11,15.5,7.7,1.2,7.8,7.8,1.2,10.36001,7.6806839,0.4435678,2.6793261,2.6793261,0.4435678,2.07710403,0.644,0.986,1.43310403,1.43310403,0.986,2.07710403,0.644,0.986,1.43310403,1.43310403,0.986,445.25,161.5,223.5
56,1T-Fe1Rh1Se4,-1,-6.9658612,4775.387779002869,1183.1776434024134,2633.1015271110177,2238.9044111870603,2214.7219001443427,2315.687746003632,116,120.5,9,4.5,4.5,9.0,28.9,64.0,4.0,35.1,35.1,4.0,6,8.5,1,2.5,2.5,1,2,4.5,1,2.5,2.5,1,10,9.5,11,0.5,5.5,1,16.5,7.7,1.2,8.8,8.8,1.2,9.752392,7.6806839,0.4435678,2.0717081,2.0717081,0.4435678,2.02067,0.644,0.986,1.37667,1.37667,0.986,2.02067,0.644,0.986,1.37667,1.37667,0.986,445.25,161.5,236.5
57,1T-Fe1Rh1Te4,1,-7.632382807,1209.0609022148983,7569.14356074291,4417.345457049337,6309.169917193022,6206.877075744044,6443.04632041655,136,120.5,9,15.5,15.5,9.0,38.0,64.0,4.0,26.0,26.0,4.0,6,8.5,1,2.5,2.5,1,2,4.5,1,2.5,2.5,1,20,9.5,11,10.5,10.5,11,20.5,7.7,1.2,12.8,12.8,1.2,9.00966,7.6806839,0.4435678,1.3289761,1.3289761,0.4435678,1.970876,0.644,0.986,1.326876,1.326876,0.986,1.970876,0.644,0.986,1.326876,1.326876,0.986,445.25,161.5,256.5
58,1T-Fe1Ru1Te4,-1,-7.194384572,1209.0464395251447,7546.595956561166,4199.294012264608,6306.063872605915,6206.87707573273,6443.046320416463,136,120.5,9,15.5,15.5,9.0,38.0,67.0,10.0,29.0,29.0,10.0,6,8.0,0,2.0,2.0,0,2,4.0,0,2.0,2.0,0,20,9.0,10,11.0,11.0,10,20.5,7.7,1.2,12.8,12.8,1.2,9.00966,7.6314839,0.5419678,1.3781761,1.3781761,0.5419678,1.970876,0.6005,0.899,1.370376,1.370376,0.899,1.970876,0.6005,0.899,1.370376,1.370376,0.899,1011.0,-970.0,256.5
59,1T-Fe1Ta1S4,1,-11.13998355,14835.73890102203,1265.6517461530893,429.9934766906029,358.06840817191033,353.9131970799786,376.2724155439595,103,131.0,30,28.0,28.0,30.0,19.4,68.0,12.0,48.6,48.6,12.0,6,6.5,3,0.5,1.5,1,2,2.5,3,0.5,1.5,1,0,12.5,17,12.5,12.5,17,15.5,9.0,3.8,6.5,6.5,3.8,10.36001,7.7260189,0.3528978,2.6339911,2.6339911,0.3528978,2.07710403,0.2365,0.171,1.84060403,1.84060403,0.171,2.07710403,0.2365,0.171,1.84060403,1.84060403,0.171,1516.5,-1981.0,234.0
60,1T-Fe1Ta1Se4,-1,-9.35173114,14882.86862138329,1183.1820144797077,2699.4909678835647,2246.597012383611,2214.721900216525,2315.687746003818,116,131.0,30,15.0,15.0,30.0,28.9,68.0,12.0,39.1,39.1,12.0,6,6.5,3,0.5,1.5,1,2,2.5,3,0.5,1.5,1,10,12.5,17,2.5,8.5,5,16.5,9.0,3.8,7.5,7.5,3.8,9.752392,7.7260189,0.3528978,2.0263731,2.0263731,0.3528978,2.02067,0.2365,0.171,1.78417,1.78417,0.171,2.02067,0.2365,0.171,1.78417,1.78417,0.171,1516.5,-1981.0,247.0
61,1T-Fe1Ta1Te4,1,-8.842854082,15038.394548131504,1209.2261561358725,7173.255146412498,6265.411242266903,6206.877075497692,6443.046320415464,136,131.0,30,5.0,15.0,10.0,38.0,68.0,12.0,30.0,30.0,12.0,6,6.5,3,0.5,1.5,1,2,2.5,3,0.5,1.5,1,20,12.5,17,7.5,8.5,15,20.5,9.0,3.8,11.5,11.5,3.8,9.00966,7.7260189,0.3528978,1.2836411,1.2836411,0.3528978,1.970876,0.2365,0.171,1.734376,1.734376,0.171,1.970876,0.2365,0.171,1.734376,1.734376,0.171,1516.5,-1981.0,267.0
